ImageId,ClassId,x_min,y_min,x_max,y_max,split
0002cc93b.jpg,1,113,63,755,255,train
0007a71bf.jpg,5,72,4,1167,255,train
000a4bcdd.jpg,1,146,55,461,255,train
000f6bf48.jpg,4,515,0,1131,255,train
0014fce06.jpg,3,896,60,929,249,train
0025bde0c.jpg,5,33,2,1200,176,train
0025bde0c.jpg,4,1231,0,1512,185,train
002af848d.jpg,4,1135,189,1454,254,train
002fc4e19.jpg,6,570,83,595,160,train
002fc4e19.jpg,2,568,163,584,255,train
0030401a5.jpg,4,729,0,1315,255,val
0046839bd.jpg,3,597,42,768,99,train
005d86c25.jpg,5,1,0,763,255,train
005f02e20.jpg,3,1244,104,1296,214,train
005f19695.jpg,5,481,0,1320,255,train
008621629.jpg,4,841,134,1580,253,train
0088260da.jpg,5,101,0,1428,255,val
008d0f87b.jpg,5,282,0,1515,255,val
008ef3d74.jpg,1,1391,182,1430,255,train
008ef3d74.jpg,2,1466,4,1499,161,train
0095cd374.jpg,3,41,1,112,220,val
00ac8372f.jpg,1,397,106,415,187,train
00ac8372f.jpg,2,383,0,450,255,train
00af2671f.jpg,5,607,0,1120,255,val
00bc01bfe.jpg,6,831,129,1335,255,train
00bf8497a.jpg,3,795,23,1474,103,train
00c88fed0.jpg,1,40,227,58,254,train
00c88fed0.jpg,2,52,1,83,255,train
00cdb56a0.jpg,3,1034,71,1072,134,val
00d639396.jpg,5,895,0,1230,255,train
00e0398ad.jpg,5,31,0,1233,255,train
00ec97699.jpg,3,1104,127,1222,230,val
00f1665e6.jpg,5,933,0,1198,255,train
00f6e702c.jpg,3,1134,10,1329,250,train
01053d28f.jpg,6,168,26,290,247,train
010db68d1.jpg,1,227,52,461,241,train
012a9a4c7.jpg,1,690,0,741,125,val
012d29df4.jpg,5,0,29,1420,248,train
012f26693.jpg,3,17,0,225,119,val
012f26693.jpg,4,137,129,301,245,val
01338c0ea.jpg,3,281,0,327,232,train
0139dd004.jpg,3,542,7,945,148,train
0141c9bf3.jpg,3,1164,91,1327,240,train
0148e9891.jpg,3,923,0,1016,255,val
014ebe543.jpg,5,10,2,1209,220,train
01540cab1.jpg,3,386,183,874,231,train
01661826d.jpg,6,1324,25,1449,168,train
0167a740e.jpg,1,903,0,922,143,val
016af13d0.jpg,3,39,0,279,254,train
016efe618.jpg,4,0,0,1477,255,train
01764ee81.jpg,5,1,0,1527,255,val
017c828a1.jpg,1,962,0,990,156,val
018ccdfed.jpg,4,764,1,1516,250,train
01919944c.jpg,5,0,0,1511,255,train
019f42c2a.jpg,5,167,0,1534,255,train
01a1027ce.jpg,3,611,0,774,255,train
01afbfa7a.jpg,4,1062,48,1215,124,val
01b043500.jpg,3,718,1,771,255,val
01b492dd6.jpg,3,12,24,40,66,train
01c3ef286.jpg,5,321,3,722,255,train
01cf446d4.jpg,3,685,0,712,251,train
01cfacf80.jpg,3,1168,0,1418,145,train
01cfacf80.jpg,4,0,0,1594,210,train
01df77e59.jpg,1,66,24,1171,233,train
01e020dc5.jpg,5,252,0,1222,255,train
01ebe0d32.jpg,5,382,0,1176,255,train
01fd320c9.jpg,3,555,200,1229,246,val
01fd50e68.jpg,5,468,0,1105,255,train
020ff3106.jpg,3,207,33,456,254,val
0217af9b1.jpg,3,336,0,356,255,train
0218c0fcc.jpg,4,815,5,1117,219,val
02291e913.jpg,5,662,1,1111,254,train
02431211b.jpg,5,970,0,1476,255,val
025cb9f6e.jpg,3,1085,0,1200,255,train
025dc8dc8.jpg,3,1243,65,1400,255,train
026183d85.jpg,2,469,63,487,226,train
02701c239.jpg,5,629,1,1068,255,train
0281aba7b.jpg,5,151,0,536,255,train
028eb44d1.jpg,5,0,45,1545,255,train
028ed7768.jpg,3,960,0,1119,255,train
0294f23c0.jpg,5,707,1,1318,255,train
02b2d3aa4.jpg,1,383,83,597,255,train
02b906933.jpg,5,428,1,1127,255,val
02bf279c9.jpg,3,216,141,321,255,train
02c4655ff.jpg,1,324,11,1315,225,train
02c79bfcb.jpg,5,580,0,1597,173,train
02d18b8a4.jpg,5,48,0,1036,255,val
02d573611.jpg,4,905,162,1174,254,val
02d8c6b30.jpg,3,753,0,868,254,train
031627893.jpg,5,446,56,1599,150,train
031f334ec.jpg,5,104,0,1477,213,train
0340e13c4.jpg,5,545,0,1571,255,val
03461f8e0.jpg,3,1191,87,1338,255,train
034941f9d.jpg,5,392,45,1349,242,train
035021da2.jpg,3,69,166,337,255,train
0360edfb8.jpg,5,682,0,1006,255,val
036c4e5d2.jpg,1,294,0,324,255,train
036c7d18c.jpg,5,0,0,1597,254,train
037fca267.jpg,3,927,17,1109,255,val
03860f6a9.jpg,5,52,0,1320,255,train
0386ce84b.jpg,5,384,76,1593,255,val
038f14456.jpg,4,1053,130,1222,255,train
0391d44d6.jpg,5,247,38,1111,248,train
0391d44d6.jpg,4,265,0,1599,255,train
039577d49.jpg,5,138,0,1597,255,val
03ab4e3ea.jpg,3,1134,0,1212,174,train
03ca4d04c.jpg,5,0,3,1142,255,train
03da79fda.jpg,1,707,155,738,229,train
03db6bbc3.jpg,5,113,40,658,252,train
03db6bbc3.jpg,4,322,1,1418,255,train
03faf7462.jpg,3,683,12,736,255,val
